anime_id,watching,completed,on_hold,dropped,plan_to_watch,total
2581,9610,144461,6543,5038,43286,208938
40435,2839,8643,674,459,7759,20374
30831,76046,1437457,28940,31793,199459,1773695
29831,427,3940,237,204,5443,10251
6467,717,46041,280,335,5184,52557
121,64412,1046757,50056,48104,178116,1387445
39783,48813,432298,9123,7532,115014,612780
8129,7870,132372,5241,3621,71482,220586
34572,477168,466043,126273,126036,244912,1440432
721,7807,74314,7977,5845,60844,156787
25313,904,25188,450,349,11211,38102
6746,90820,752008,74063,55225,352898,1325014
35608,5244,166870,2025,1115,67196,242450
51096,83979,218676,5909,5545,86352,400461
1566,1775,62339,1003,443,29775,95335
1364,681,53303,276,325,4345,58930
39592,998,10769,419,354,6094,18634
13759,57343,814507,33651,32208,229049,1166758
4938,1358,41629,855,525,15582,59949
34076,3489,30375,1699,1087,23952,60602
6336,10824,52040,4963,2210,22444,92481
35110,1725,49910,645,569,21338,74187
4155,3294,200586,961,694,22003,227538
18689,24614,121018,15550,10797,55737,227716
3901,2254,139184,1688,997,27877,172000
40542,5449,162280,1764,1100,26558,197151
32122,732,22957,364,299,7582,31934
28025,8689,286786,3539,1481,93458,393953
23283,47128,696658,24495,20880,280964,1070125
24833,108734,1330289,69009,59968,255766,1823766
30370,8453,88066,3660,1123,22894,124196
4224,90239,1565318,53633,60528,277874,2047592
50709,64619,142883,5941,6412,93199,313054
19815,80712,1810601,35065,52509,248650,2227537
39198,16231,156763,6214,8317,86211,273736
20899,48321,939615,16784,10063,70422,1085205
42249,202333,572853,34559,43473,188238,1041456
40080,1697,29403,442,337,12510,44389
34822,28044,272756,12938,13312,167925,494975
16918,12550,151233,8850,8034,95158,275825
3927,4815,114954,2608,1676,19122,143175
12189,93662,683821,67896,53381,362748,1261508
12069,785,40743,266,288,6314,48396
4722,9127,174253,6334,7402,57340,254456
302,2021,18871,1474,967,22094,45427
2951,779,40795,456,358,10898,53286
31658,4494,220441,1065,627,42292,268919
15059,5665,92515,2392,1212,27162,128946
37822,10585,3,652,645,3526,15411
21469,779,41625,222,328,5109,48063
1382,307,5118,198,234,3468,9325
11771,61526,831515,32719,30271,151313,1107344
36456,130489,1696450,20848,18908,119590,1986285
22145,12367,279624,6250,5222,71209,374672
47904,399,6958,77,211,1517,9162
24277,7193,98935,3790,2818,17789,130525
21419,592,33707,263,305,4700,39567
40907,10417,62143,2041,1448,52183,128232
