anime_id,watching,completed,on_hold,dropped,plan_to_watch,total
1382,307,5118,198,234,3468,9325
11771,61526,831515,32719,30271,151313,1107344
36456,130489,1696450,20848,18908,119590,1986285
22145,12367,279624,6250,5222,71209,374672
47904,399,6958,77,211,1517,9162
24277,7193,98935,3790,2818,17789,130525
21419,592,33707,263,305,4700,39567
40907,10417,62143,2041,1448,52183,128232
14713,24642,412407,12035,11464,133586,594134
41402,38424,145689,6522,3944,59294,253873
2025,45745,511348,37434,26610,266231,887368
35062,110963,372996,53560,42338,239946,819803
1559,15354,190911,9187,7963,61265,284680
27833,13103,236504,8199,4432,95539,357777
339,49989,298866,31593,20029,276635,677112
38081,754,18656,282,189,10487,30368
38668,30874,283633,12333,12725,133512,473077
6547,68022,1493065,42453,50165,301090,1954795
23317,5803,167335,2279,1830,51033,228280
10643,855,23083,467,384,10919,35708
1367,583,47130,263,310,4323,52609
8425,29938,256368,24194,22692,176522,509714
1471,1320,13483,718,458,8466,24445
851,2123,11425,1266,765,15190,30769
21557,4594,187771,1841,825,71843,266874
